"id","titulo","texto"
336,"Arañas","-Papá¿qué es una araña?#-Un pequeño ser depredador y venenoso que paraliza a sus presas y se dedica a tejer#-¿Cómo la abuela?#-Con más patas"
337,"Sigue leyendo","(Lee abajo)#¿Cómo mantienes a un tonto ocupado?#(Lee arriba)"
338,"El verdadero poder del amor","-No hay sentimiento con más poder que el amor.#-¿Puede un enamorado doblar el acero con su vista de rayos láser?#-¿Qué?#-¡Pues te callas!"
339,"Grandes inventos de la historia","¡He tenido una idea que te cagas! (El inventor del laxante)"
340,"Tu amiga es tímida","-Tu amiga no ha hablado en toda la noche.#-Tío, que es muda.#-¿Sí? ¿Y todos los mudos son así de tímidos?#-¿Qué?"
341,"Ir al Ikea","Ir a ikea.... si hay que ir se va...#Pero ir pa na estanteria"
342,"Colmo de enanos","- ¿Cual es el colmo de un enano?#- Que la policia le diga: ¡¡¡ALTOOOOO!!!"
343,"Ver-Vermut","Un tartamudo ensaya en su casa para pedir un vermut en un bar. Y el tio empieza…#- ver-ver-mut!, ver-mut!, vermut, ahora me sale.#Se va al bar y el camarero le dice: que desea?#- vermut.#Al dia siguiente ensaya otra palabra:#-ca-ca-café!, ca-fé!, café!#Se va al bar y el camarero le pregunta: que desea?#- café!#Con azúcar o sin azúcar?#- vermut!"
344,"Malditas dietas","Esto es una pareja, y la mujer dice:#- Cariño, ¿sabes? me he puesto a dieta...#Y su marido le contesta:#- ¿Ah, sí? ¿Y cuánto has perdido?#Y su mujer le responde:#- Una semana."
345,"Abono en el club","-Hola, ¿es aquí el club de imbéciles?#-Sí, pero... ¿qué hace con toda esa mierda?#-Vengo a abonarme.#-Dios santo, pase, será el líder."
346,"El peor jugador","!!!#- ¿Como se llama el peor jugador de la liga japonesa?#- Nikito Nitoko"
347,"Campeón de buceo chino","!!!#- ¿Como se llama el campeón de buceo de china?#- Toko Fondo#- ¿y el subcampeón?#- Casi Toko"
348,"Beso en árabe","!!!#- ¿Como se dice beso en árabe?#- allabalababa"
349,"Intolerante a la lactosa","-chan#- Hija, ¿por qué suspendiste tanto?#- Porque soy intolerante a la lactosa#- ¿Y?#- No leche ganas JAJÁ ¡NO MAMÁ, CON LA SILLA NO!"
350,"El inglés de Jaimito","- Jaimito dime como se dicen bolos en inglés.#- Bowlings#- Ahora una frase#- Lo haría encantadamente pero me he dado en los bowlings"
351,"De pan a pan","- ¿Qué le dice una barra de pan a otra?#- Te presento a una miga"
352,"El vecino toca","-chan#-Mi vecino es músico#-¿Y qué toca?#-LOS HUEVOS"
353,"Casa de Noe","-chan#- Ya llegué Mamá!#- Es muy tarde, ¿Dónde andabas?#- En la casa de Noe#- ¿Cuál Noe?#- Noe de tu incumbencia, ¡NO MAMÁ, CON LA PLANCHA NO!"
354,"Fumando Sal","Se abre el telón y se ve unos tíos fumando sal.#¿Cómo se llama la película?#SALFUMÁN"
355,"El nene distraido","- Mamá en la escuela me dicen distraído.#- Ay nene yo no soy tu mamá. Tu mamá vive al frente"
356,"Felix","- Hola ¿está Felix?.#- No estoy Tristex."
357,"Gordo y feo","- Doctor, últimamente me siento más gordo y feo, ¿qué tengo?#- Mucha razón."
358,"Un clavo saca a otro clavo","Eso de que 'un clavo saca otro clavo' no funciona a la perfección. Tenia uno en el pie y ahora ya tengo tres. Alguien sabe otro método?"
359,"Paraguayo","-Hola,soy paragüayo y he venido a casarme con su hija.#-¿Para qué?#-paragüayo"
360,"Habia una vez un perro","Habia una vez un perro que se llamaba quieto. Un día su amo lo llamó:#- Quieto ven, Quieto ven-#y el perro exploto"
361,"Tortilla al pino puente","-¿Que te apuestas a que hago una tortilla haciendo el pino puente?#- No hay huevos!!#- Ah!, pues entonces nada..."
362,"La esquina","- ¿Vio usted a un hombre doblando la esquina?#- No cuando llegue ya estaba doblada."
363,"Quiero un prestamo","-Hola buenos días, venía a pedir un préstamo...#- Entiendo, ¿y la oveja?#- Viene a balarme..."
364,"Toca el violín","-¿Ha visto usted como toca mi hijo el violín? ¿Que le parece su ejecución?#- Hombre, ejecutarlo me parece excesivo, pero dos hostias ya le daba..."
365,"Suspenso en inglés","- ¿Otro suspenso en inglés hijo? Tienes que esforzarte mas!#- Vale... Pero ahora tengo hambre...#- Dimelo en inglés...#- I am bre..."
366,"¿Nervioso?","-¿Que tal? ¿Nervioso?#- Si, un poco...#- ¿Es tu primera vez?#- No, ya había estado nervioso antes..."
367,"Nivel de ingles","- ¿Nivel de inglés?.#- Alto.#- Traduzca vidrio.#- Glass.#- Úselo en una frase.#- Glassias pol la entlevista.#- Maldito chino eres un festival!! estás contratado!!."
368,"Telaraña","-Ayer tu novia me pidió que la ayudara a quitar una telaraña y cuando me agaché me la chupó.#- ¿¡TE LA QUE!?#- Telaraña."
369,"Qué país","- ¿Cual es el país que primero ríe y después explota?#- Ja-pon"
370,"Mohamed visitando la casa","-Mira Mohamed, este es mi salón...#- Hala, es grande...#- Deja de rezar y hazme caso..."
371,"El pozo","¿Por qué los de Lepe se tirana un pozo?#Porque en el fondo no son tan tontos."
372,"Jesús, te salvaré","- Jesús...#- Dime padre...#- Iras a la tierra, te torturarán, pero en tu último aliento, dame una señal y te salvaré...#- De acuerdo padre, daré una palmada..."
373,"La regla","- Papi, papi... ¿Qué es la regla?#- Errr... estooo... la regla es sangrar por el coño... hala, ya lo he dicho...#- Ahhh, ¿y el transportador de ángulos?"
374,"Salto mortal","- El otro día mi hijo hizo un salto mortal en la piscina#- ¿Hace natación?#- Hacía..."
375,"En su curriculum pone que sabe inglés","-Veo en su curriculum que sabe inglés ¿sabría decirme como se dice mirar?#- Look...#- Muy bien, ¿podría construir una frase?#- Look, yo soy tu padre..."
376,"Nivel de inglés","-¿Nivel de inglés?#- Alto#- De acuerdo, haga una frase con 'Christmas'- Como no me de el trabajo, le parto la Christmas..."
377,"El engendro","- ¿Como habeis llamado al niño?#- Elengendro#- Será Alejandro...#- Es que tu no lo has visto..."
378,"Paella buenísima","- Mamá mamá que buena está la paella.#- Pues repite hijo, repite.#- Mamá mamá que buena esta la paella."
379,"Dos animales en uno","- Cual es el animal que a la vez son dos animales?#- El gato, porque es gato y araña.#- No, tu hermana, porque es zorra y cobra."
380,"Rajoy en tiempos de recortes","Se abre el telón y aparece Rajoy con unas tijeras.#Se cierra#El telón#El teatro#La escuela#El hospital"
381,"Chiste sin madurar","- ¿Quieres que te cuente un chiste verde?#- Si#- Espera que se madure"
382,"Cerilla","- Que le dice una cerilla a una caja ?#- Me has dejado negro"
383,"Telón eléctricto","1.acto a parece un general#2.acto aparece un cable de electricidad#3.acto aparece el general electrucado#como se llama el acto#GENERAL ELECRTIC"
384,"Llévame al circo","- Mamá, mamá, llévame al circo.#- De eso nada, el que quiera verte que venga a casa."
385,"Monstruo chamuscado","El marido le escribe a su esposa un mensaje al móvil:#Querida:#La policía ha hallado un cuerpo quemado, con dentadura postiza, peluca, pechos caídos y caderas deformes... por favor, respondé este mensaje para saber que estás bien."
386,"un niño","Un niño entra a una óptica y le dice al vendedor:#- Quiero comprar una gafas, por favor.#El vendedor le pregunta:#- ¿Para el sol?#Y el niño responde:#- No. ¡Para mí!"
387,"No y yo tampoco","-¿Te sabes el chiste de 'no y yo tampoco'?#-No.#-Yo tampoco.#-...#-¿Lo has pillado?#-No.#-Yo tampoco."
388,"El perro de Scottex","De que murió el perro de Scottex?#De un mal rollo."
389,"Zapatos especiales","En una zapatería:#- Perdone, ¿tienen zapatos de cocodrilo?.#- Ehm no.#-Que pena, vamonos cocodrilo."
390,"Papa pitufo","Se abre el telón y ves a papa pitufo enseñando el culo.#- ¿Como se llama la película?#- Verano Azul=Ver ano azul."
391,"yogur natural","- Te cuento un chiste...#- Yogur. ¿Te a gustado?#- No....#- Natural"
392,"Definiendo la sexualidad","Un chico de 17 años le dice a su padre:#- Papi me gustan las chicas!#- Bien hijo, ¿ya tienes novia?#- No papa me gustan las chicas, porque las grandes me hacen daño!!!"
393,"El élfico vale para casi todo","-Puri, ya me he tatuado tu nombre, porque eres lo que más quiero.#-Ahí pone 'Fifa'.#-Es élfico."
394,"Un encanto","-¿Me haces un favor?#+¿Me tengo que levantar?#-Sí.#+Entonces NO."
395,"sí que da palo","—¿Puedes explicar por qué eres tan vago?#—¿Ahora?"
396,"Superman y los perfumes","¿Qué se pone Superman después de bañarse?#-SUPERfume"
397,"Rubia en la entrevista de trabajo","Va una rubia a una entrevista de trabajo y le preguntan:#-¿Y de ingles que tal?#Y contesta avergonzada:#- Pues hoy no me he depilado…"
398,"El huevo y la sartén","- ¿Qué le dice el huevo a la sartén?#- Me tienes FRITO"
399,"La consola del gitano","Le preguntan a un gitano que consola quieres ? La consola DS ( de ese )"
400,"Electricista en el hospital","Un electricista va a la Unidad de Curas Intensivas de un hospital, mira a los pacientes conectados a diversos tipos de aparatos y les dice:#- Respiren profundo: ¡Voy a cambiar un par de fusibles!"
401,"Arbitro en el baño","¿Que hace un arbitro en el baño......expulsar a Kaka"
402,"Guapo entre generaciones","- Papa,papa ¿que se siente tener un hijo tan guapo?#- No se hijo preguntale a tu abuelo"
403,"Venga hombre","¡Mamá, mamá, en el colegio me estaban pegando una paliza!#¿Y te has vengado, hijo?#¡Hombre! ¡Si no me vengo, me matan!"
404,"Vampiro motorizado","¿Para que quiere un vampiro un tractor?#- Para sembrar el pánico."
405,"Tomatito",":Annie N.A.#1acto:un tomate#2acto:una camara fotografica#3acto:el tomate posando para la camara#como se llama la obra?#Tomate una foto"
406,"Hombre calvo","Un hombre calvo está conversando con un amigo:#- Sabes, me he comprado un champú anticaida#- ¿Y te funciona?#- No, me sigo resbalando en la ducha"
407,"En el dentista","En el dentista:#- Tengo que extraerle el diente adolorido, pero no te preocupes solo tomará unos cinco minutos.#- ¿Y cuánto costará?#- 90 euros#- ¡90 euros por solo unos minutos de trabajo!#- ¡Puedo extraerlo muy lentamente si quiere!"
408,"Mensaje de una novia","Una novia envía un mensaje por teléfono móvil a su novio, con el siguiente texto:#Si estás durmiendo, mándame tus sueños.#Si estás riendo, mándame tu sonrisa.#Si estás llorando, mándame tus lágrimas.#¡¡¡ TE AMO !!!#El novio le responde:#-Estoy cagando... ¿Qué hago?"
409,"Jaimito y una pata de pájaro","Un día el profesor le preguntó a Jaimito:#- Con esta pata de pájaro, dime cual es el tipo del pájaro, cuanto come cada día y cuantos huevos en cada nidada.#Y dice Jaimito:#- ¿Y como lo voy a saber con una sóla pata de pájaro?#Y dice el profesor:#- ¡Jaimito estas suspenso!, dime tu nombre y tus apellidos.#Y dice Jaimito:#- Adivine."
410,"Cura en bicicleta","Un cura ciclista debe ser la ostia en bicicleta"
411,"Activos y Pasivos","Un hombre al que le gustan los activos y los pasivos sólo puede ser una cosa, contable."
412,"La comba","Se abre el telón y aparece una niña saltando a la comba.#Se cierra#Se vuelve a abrir y sale la niña muerta y la comba en el suelo. Se cierra el telon#Como se llama la peli....#Mortal comba"
413,"Las viejas de la aldea","Dos viejas de aldea#-¿Qué es de tu marido qué hace tiempo que no lo veo?#-Se encerró en la bodega con dos cubas de vino tinto.#-¿Y tú que haces?#-Le dejo la comida en la puerta de la bodega y me voy.#-¿Y no lo echas de menos?#-¿De menos? ¡Le echo de más! ¡A ver si rebienta!"
414,"Amor en la tercera edad","Un niño le pregunta a su abuelo:#-Abuelo. ¿Cómo es hacer el amor en la tercera edad#-Cómo en la adolescencia, chaval.#-¿De verdad?#-Sí, es un querer y no poder."
415,"Amor en la tercera edad","Un niño le pregunta a su abuelo:#-Abuelo. ¿Cómo es hacer el amor en la tercera edad#-Cómo en la adolescencia, chaval.#-¿De verdad?#-Sí, es un querer y no poder."
416,"Nuevas generaciones de ladrones","Un ladrón le dice a otro:#-¡No sabes lo orgulloso que estoy de mi hijo!#-¿Va a seguir con la tradición familiar?#-Sí.#-¿Y cómo va a empezar?#-Dando un mitin."
417,"Niño fuerte","Vaun vasco por la calle con su hijo, los dos a pecho descubierto, y le dice un amigo:#-¡Vaya músculos tiene tu hijo, Gorka!#-Ya ves, y con siete años.#-¿Cómo se hizo esa musculatura?#-Cosas del médico. Me dijo que el niño tenia que coger peso y a coger pesas lo puse."
418,"Gran organo","El ginecólogo todo asombrado a la señora despatarrada:#- Ah! que coño más grande,... que coño más grande!!!#La señora, un poco mosqueada, le contesta:#- Vale doctor vale, pero no lo repita.#El doctor con toda su sorna a la señora:#- Si no lo repito señora, no lo repito, es el eco."
419,"Coche chino nuevo","Se encuentran dos chinos:#-El otlo día me comple un coche nuevo.#-¿Ah si?#-Si, mila, es ese de ahí.#-Y que malca es?#-Un Alfa#-¿Lomeo?#-Lo meas y te lompo el cuello, pol cochino."
420,"Lepe con ketchup","¿Qué hace un lepero con un sobre de ketchup en la oreja?#- Esta escuchando salsa"
421,"Botella vacia","¿Por qué los leperos meten una botella de agua sin nada en el frigorifico?#Para cuando le pregunte si quiere algo y le diga nada, le dé la botella."
422,"Dos perros","Habían dos perros y uno le pregunta al otro.#- Disculpame.¿Tenes hora?.#y el otro responde,#- ¡Guauuuu un perro que habla!"
423,"Niña en la farmacia","Entra una niña en una farmacia y dice:#- Me puede dar un preservativo.#Y dice el farmacéutico:#- Bueno supongo, pero sera para tus padres no?.#Y dice la niña:#- No, es para mí, es que tengo tres muñecas y ya no quiero tener más."
424,"Boda incomprensible","Le dice una niña susurrando a otra:#-¿Cómo puede tu hermana casarse con ese hombre tan feo,jorobado,sin una pierna y sin un ojo?#-Puedes hablar en voz alta,que ademas es sordo"
425,"El actor de pirata","En una representación teatral un hijo le pregunta a su padre:#- ¿Por qué le hechas tierra al pirata en los ojos?#- Porque el pirata ha gritado: tierra a la vista!"
426,"LAS PULGAS","Era sé una vez 3 pulgas que se mudan de casa a un baño. Al siguiente día dice una:#- Yo he dormido genial.#- Yo también.#Y la otra dice:#- Pues yo no,caía lluvia amarilla,caían troncos del cielo#y sonaban truenos."
427,"La mona y su platano","Se levanta el telón y sale una mona comiendo un platano en medio de la carretera , pasa un camión y la atropella#Se cierra el telón , como se llama la pelicula ?#- La mona lisa"
428,"Habitantes de Barcelona","- Oye, ¿sabes cómo se llaman los habitantes de Barcelona?#- Coño, pues todos no...."
429,"Leperos muertos","Ayer fallecieron 4 leperos:#dos en un asesinato y otros dos en la reconstrucción de los hechos."
430,"Testigo de Jehová","- Manolo, ¿quieres ser testigo de Jehová?#- ¡Coño! ¡Pero si ni siquiera he visto el accidente!"
431,"MENTIR...","Madre e hijo:#-Hijo , nunca mientas , las personas mentirosas nunca seran algo en la vida-#-Entonces porque Rajoy miente i es el presidente ?-"
432,"Pobresilla","- Mama mama en el colegio me disen gorda.#- Ay pobresilla#- Gracias mama#- No hija pobre silla en la que estas sentada"
433,"Las Mujeres que no sabían que cocinar","Iba una mujer por la mañana caminando por la calle y se encuentra con su amiga de toda la vida#- ¡Juanita! ¿Que te pasa que estas toda seria?#- Nada, que esta mañana, mande a mi marido a comprar un saquito de patatas, Para hacer una tortillita al menos.#Y resulta, que lo atropello un camión.#- ¿Y ahora que vas a hacer?#- ¡Yo que se! Macarrones"
434,"El matrimonio lo cambia todo","Las primeras semanas :#-Te dice :-No pares !-#Duermes con ella, te explica sus fantasías, hacéis el amor 5 veces a la semana...#Los siguientes 2 años :#-Te dice :-No sigas !-#Duermes en el sofá, mo hablais nunca y hacéis el amor 5 veces por mes"
435,"DESEOS COMUNES","Que es lo que desean superheroes y drogaditos ?#Una Superheroina"
436,"Déjeme salir a comprar","EMPLEADO: Jefe, ¿puedo salir hoy dos horas antes? Mi mujer quiere que le acompañe a hacer unas compras.#JEFE: De ninguna manera.#EMPLEADO: Gracias jefe, ya sabía yo que usted no me iba a defraudar."
437,"Empresarios","DE EMPRESARIO A EMPRESARIO:#- ¿Cómo consigues que tus empleados lleguen puntuales al trabajo?#- Sencillo, tengo 30 empleados, pero sólo 20 aparcamientos."
438,"BARRENDERO","Como se llama barrendero en chino ?#Yokito lakaka"
439,"Tardón","JEFE:#-Este es el cuarto día que usted llega tarde esta semana.#¿Qué conclusión saca de eso?#EMPLEADO:#- Que hoy es jueves..."
440,"El jefe ha muerto","DE EMPLEADO A EMPLEADO:#- ¿Ya sabes que el jefe se ha muerto?#- Sí, pero quisiera saber quien fue el que falleció con él.#- ¿Por qué lo dices?#- ¿No leíste la esquela que puso la empresa....'...y con él se fue un gran trabajador...'"
441,"De Lepe en el cine","Uno de Lepe va al cine, y la muchacha de la taquilla le dice:#- Señor, ésta es la 5ª vez que compra la entrada.#El lepero le contesta:#- Es que el hijoputa de la puerta me la rompe...'"
442,"Rubia en clase de química","- Dígame Rubita... ¿ A qué corresponde esta formula química H2O+CO+CO#- Pues claro, tampoco soy tan tonta, eh?, pues eso es agua de coco..."
443,"Era tan fea, pero tanto","Habia una vez,una mujer que era tan fea, tan fea,que quiso ser prostituta y murio virgen"
444,"Muy muy fea","Una chica que era tan fea, pero tan tan fea, que en vez de tener la menstruación tenia la monstruación."
445,"el chinito","- ¡Oye tu! dime algo amarillo chillón.#- Que a un chino le tiren de los huevos"
446,"el condón y el diputado","¿En qe se diferencia un diputado y un condon?#Que el diputado es el miembro de la honorable cámara y el condón la cámara del honorable miembro"
447,"ESQUE ES TAN FEA...","Era tan fea tan fea que colgo una foto suya en su facebook y lo detecto el anti-virus"
448,"EL WATER Y LA MOTO","En que se diferencian el water i una moto ? En la moto nos sentamos para correr ; y el water corremos para sentarnos"
449,"La familia Diaz","1 acto: Había un hombre que vivia en el piso numero 5 y dos pisos mas arriba vivia la familia Diaz y el hobre ve pasar al papá Diaz hacia abajo#2 acto: el hombre ve pasar a la mamá Diaz hacia abajo#3 acto: el hombre ve pasar al hijo Diaz hacia abajo#- ¿Como se llama la obra?#- Los diaz pasan volando."
450,"Gelatina","Señorita:#- ¿Qué opina usted sobre la gelatina?#- Bueno en realidad no sé qué decir. En mi escuela sólo conocí la 'Y'griega y la 'I' latina, pero la 'G' latina nunca supe de ella, a lo#mejor no fui ese día a clase"
451,"Rubia sin la camioneta","La rubia sale corriendo y grita:#- 'Auxilio, me robaron mi camioneta'.#Un señor se acerca y le pregunta...#- ¿4 x 4?#- Mmmmmm... 16... pero ahora ayúdeme a encontrar mi camioneta!."
452,"Rubias en la iglesia","Un cura en la iglesia dice:#- Hoy confesaré a todas las devotas.#Se levanta la rubia y pregunta:#- Y a las que vinimos en sandalias... ¿cuándo nos toca?"
453,"Los pitufos de hoy en día","-En mi época los pitufos eran más chiquitos#-Abuela, estamos viendo Avatar."
454,"Jaimito interesado","Mama,mama en la escuela me dicen interesado#-¿Quién dijo eso hijo?#- Dame 5 euros y te cuento."
455,"Operación del oído","- ¿Qué tal te fue la operación de tu oído?#- Si"
456,"Rubia en el facebook","Dice la rubia:#- ¿Qué pasa con el facebook? Me dice 'su clave es incorrecta',#entonces pongo 'incorrecta' pero ¡no abre!!!.."
457,"Simón Bolívar murió en...","- A ver rubia... ¿Simón Bolívar murió en...?#- 'fermo'...."
458,"El señor de los anillos","- Rubita ¿viste El Señor de los Anillos?#- Sííí, pero no le compré nada..."
459,"Rubia en el aeropuerto","- ¡Señorita!¡Eh, Vd, la rubia!#- ¿Si, es a mi?#- ¡Le comunicamos que su avión viene demorado.#- Hay qué lindo, ese es mi color favorito..!!"
460,"Vasectomía","- Doctor, quiero hacerme una vasectomía#- Es una decisión importante ¿lo ha consultado con su esposa e hijos?#- 17 votos a favor y 2 en contra"
461,"Auto-stop hacia León","Había un melenudo haciendo auto-stop le para uno#- Me falta mucho para León ..?#- La cola hijo, la cola"
462,"A pocas horas del examen de Mates DE LÍMITES","- Ei, ¿qué tal llevas el exámen?#- Buff , pues al límite.#- Bueno, pues ya verás como apruebas.#- Si, salvo que la profesora me ponga en el exámen que tienda a 0"
463,"Agrotecnica","Primer acto: una gorda con una escopeta#Segundo acto: una gorda con un tanque de gerra#Tercer acto: la gorda con una pistola#- ¿Cómo se llama la obra?#- Se armo la gorda"
464,"Construcción en el currículum","-Pone Ud en su currículum que se le da bien la construcción.#-Desde Lego."
465,"Papá Noel y las etapas de la vida","Hay 4 etapas en la vida:#1. Crees en Papá Noel.#2. No crees en Papá Noel.#3. Tú eres Papá Noel y por último#4. Te pareces a Papá Noel"
466,"Hazme una perdida","Me dijo: cariño, hazme una perdida.#Entonces la llevé a la montaña y la abandoné. Hace una semana de eso y no sé nada de ella..."
467,"Falda demasiado corta","- Mamá,me voy con las amigas#- O te quitas la minifalda o no sales#- Por qué Mamá?#- Porque es muy corta#- Y qué?#- Que se te ven los huevos Paco."
468,"Azafata, un whisky","-Azafata, ¿me pone un whisky?#-Lo siento, señor, vamos a tomar tierra.#-El resto del pasaje que tome lo que quiera. Yo prefiero un whisky."
469,"Aceitunas en moto","Van 2 aceitunas en una moto:#Una se cae#-Creo que me he roto 1 hueso .#-¡Como te vas a romper 1 hueso si estamos rellenas de anchoas!"
470,"Mi billetera","Mi billetera es como una CEBOLLA .#¿sabes por qué?#Porque cuando la abro me hace llorar."
471,"Cruzar la calle","- Hijo, dame la mano, que vamos a cruzar la calle.#- ¿Te da miedo, maricón?"
472,"Sor ciclista","- ¿Hermana porque sonríe si la cuesta hasta el convento es de 70%?#- Pero el camino esta lleno de baches#- Ponga el sillín a la bici ahora mismo."
473,"Omelette","- Señores, aquí tienen su comida#- Perdone, hemos pedido omelette, no tortilla francesa#- Esto es una Omelette señor#- Omelettes tú o le meto yo"
474,"Estrella fugaz","- ¡Mira Alfonso,una estrella fugaz!¡Pide un deseo!#- Que te mueras ya,duquesa.#- ¿Qué has dicho?#- Que me apetece una hamburguesa."
475,"Dirección postal","- Dígame cuál es su dirección para mandarle los documentos.#- Calle Bosque, 31.#- ¿Apartado de Correos?#- La verdad es que sí, queda un poco lejos."
476,"¿De donde viene Pili?","- ¿De donde viene Pili?#- De Pilar#- No creo, mira los pelos de las piernas"
477,"El Hilo de Cobre","-¿Sabeis como se invento el hilo de cobre?#- ¿Como?#- Dos catalanes tiraron a la vez de una moneda de dos centimos"
478,"Calibre","Una señora entra en una armería.#- Hola, buenas. Quería una escopeta para mi marido.#- Le ha dicho de que calibre?#- ¿Qué dice? Si ni siquiera sabe que le voy a disparar!"
479,"Sin cita previa","- Hola, ¿el Dr. Pérez?.#- No atiende sin cita previa.#- 'Es al separarse cuando se siente y se comprende la fuerza con que se ama'.#- Adelante."
480,"Toda la noche haciéndolo contigo","- Podría estar toda la noche haciéndolo contigo.#- Pues yo ya estoy cansada del puto puzzle."
481,"Graduarse la vista","- Buenas, vengo a graduarme la vista.#- Pues hará usted bien porque esto es una ferretería."
482,"Jaimito y los mosquitos","Una noche de verano Jaimito no se podia dormir y le dice asu papa:#- Papa, papa los mosquitos me quieren picar!#Y su papale responde:#- Pues apaga la luz!#Al rato entra una luciérnaga por la ventana y Jaimito se levanta corriendo y furioso y le dice a su papa:#- Papa, papa! los mosquitos me vienen a picar con linternas!"
483,"borrachos en la via","Dos borrachos en la via del tren andando le dice uno al otro:#- Que escalera mas larga#y dice el otro#- A mi lo que mas me cuesta es agarrarme al pasamanos"
484,"Jaimito y su bicicleta","Un dia los reyes le trajeron una bicicleta a Jaimito.#Jaimito ledice a su mama:#- Mira mama, voy con una mano!#Al rato le vuelve a decir a su mama:#- Mira mama, voy sin manos!#Al rato le dice a su mama:#- Mira mama, sin dientes!"
485,"La cruz de Jesús","-Jesús.#-Dígame, Padre.#-Irás a la tierra y te torturarán, pero en tu último aliento, dame una señal y te salvaré.#-Vale, daré una palmada."
486,"Mesopotámico","-Que, te gusto?#-Me pareces mesopotámico#-Exótico, raro?#-No, pareces una mesa con un hipopótamo encima, más ancho que largo."
487,"Nombre de otros","No sé por qué cada vez que tengo sexo con mis novias gritan el mismo nombre de otra persona. ¿Alguien sabe quién es 'Socorro Meviolan'?"
488,"Alzheimer o Sida","En la consulta del médico:#- No recuerdo si era Alzheimer o Sida lo que su esposa tiene.#- ¿Y que hago Doctor?#- Puessss, déjela en medio del bosque sola y si sabe volver sola a casa sobretodo no se acueste con ella."
489,"Eres tan feo que al nacer...","Eres tan feo tan feo que tu madre en vez de darte el pecho te daba la espalda"
490,"Bebés","Un niño le dice a su mamá:#- Mamá, mamá, que tienes en la barriga?#-Es un bebé hijo.#- Y lo quieres mucho?#-Si hijo, lo quiero mucho.#- ¿Y por qué te lo comiste?"
491,"mal enteder","-¿pero que haces tirando esos portátiles al río?#-!pero mira como beben los PC,s en el rio!"
492,"Nombres poco útiles","Habían tres amigos que se llamaban Tonto, Nadie y Ninguno.#Tonto va y le dice al policía:#Nadie se cayó al pozo y Ninguno lo está ayudando.#Entonces el policía le responde:#¿Usted es tonto?#Sí, ¡Mucho gusto!"
493,"Qué pesa más","- ¿Qué pesa más, un pájaro de 3 kilos o un bebé de 3 kilos?#- El pájaro. Porque pesa 3 kilos y pico…"
494,"Mujer cagando","- Se abre el telón y se ve a una señora haciendo fuerza para cagar ¿cómo se titula la película?#Apreti woman"
495,"Coche fantástico y wáter","- Se abre el telón y aparece el coche fantástico y un wáter. Se cierra el telón. ¿Cómo se llama la película?#....CAGATE KIT"
496,"Como se dice diarrea","- ¿Cómo se dice diarrea en africano?#- Abunda la caca"
497,"Tengo muchas cuentas","Tengo cuentas en Gmail, en Hotmail, en Facebook y Twitter, también abrí cuentas en Foros, Blogs, PayPal... yo que se señor Juez... quizás también me abrí una cuenta en Suiza, yo que se..."
498,"Jaimito y la letra i","- A ver Jaimito, dime una palabra que tenga 5 ies.#Y Jaimito le responde:#- Pero profesora, eso es dificilísimo.#- Muy bien Jaimito, muy bien."
499,"Madre en Windows","- Mamá, ¿qué haces en frente de la computadora con los ojos cerrados?#- Nada, hijo, es que Windows me dijo que cerrara las pestañas."
500,"Suegra sola","Vivo con el miedo de que alguien entre a robar a mi pobre suegra que vive sola con sus joyas en la calle Alcinar de las Rojas nº 254 Edificio F piso 2º"
501,"Mal aliento","-Doctor, ¿qué me recomienda para el mal aliento?#-Una relación a distancia."
502,"El Inventor","- ¿Y tú a qué te dedicas?#- Soy inventor...me inventé la rueda, la radio, la penicilina...#- Eso es mentira!!#- ¿Ves? Me lo invento todo!"
503,"Hijos melódicos","Dos amigos:#- Hombre, cuanto tiempo! Esta es mi hija, la menor.#- Pues este es mi hijo, fa sostenido"
504,"El sujetador","En una tienda:#- Hola quisiera un sujetador para mi mujer#- ¿Talla?#- 90#- ¿Copa?#- Pues... ya que te pones, un Gin-Tonic"
505,"El jaguar","- ¿Que le dice un jaguar a otro jaguar?#- Jaguar you"
506,"Sillas en la cocina","- ¿Por qué los de Lepe no meten sillas en la cocina?#-Porque ven un tarro que pone NOCILLA"
507,"Las gordas de lepe no cocinan","- ¿Por qué las gordas de lepe no entran en la cocina?#- Porque hay un tarro que pone SAL GORDA"
508,"Un trabajo que te guste","Todos seríamos más felices si trabajásemos de lo que nos gusta.#En mi caso es muy difícil encontrar trabajo de macarrones con queso."
509,"Dejé de hacer Surf","Cuando tuve a mi hija dejé de hacer Surf.#Ahora la llaman la niña del exsurfista."
510,"Vamos con Dios","Van dos monjas en una moto individual, les para la Guardia Civil y les dice el guardia:#-¿Es una moto individual?#-Sí, agente.#-Multa por ir dos.#-Pero, agente, vamos con Dios.#-Pues multa por ir tres."
511,"Gays en verduleria","Habian una pareja de gays entran a una verduleria#- Hola verdulero me da dos bananas!#- El minimo de compra es de tres unidades#Entonces le dice al otro gay#- Y... con la otra que hacemos?#- ....Nos la comemos!!!"
512,"Paquito Chocolatero.","Se abre el telón: sale Franco fumándose un porro.#Se cierra el telón: ¿cómo se llama la película?#PAQUITO EL CHOCOLATERO."
513,"Es distinto","No es lo mismo decir 'una pelota vieja' que una 'vieja en pelotas'."
