"word";"N";"list_sugerence_first";"list_sugerence_all"
"hecho";"7";"hecho";"hecho,echo,ahecho,hechor,hechos,hecha,hacho,techo,lecho,hucho,mecho,pecho,fecho,he cho,he-cho"
"hechos";"2";"hechos";"hechos,hecho,echos,hechas,hachos,hechor,techos,lechos,pechos"
"heladería";"1";"heladería";"heladería,heladera,heladerías,helad ería,helad-ería"
"helado";"1";"helado";"helado,helad,heleado,helador,helando,helados,helgado,helada,halado,hilado,celado,melado,pelado,velado,he lado"
"hélice";"1";"hÃ©lice";"hÃ©lice"
"hembras";"1";"hembras";"hembras,hambres,hembra,hebras,hembreas"
"hemingway";"1";"hemina";"hemina"
"hemorragia";"1";"hemorragia";"hemorragia,hemorragias"
"hemos";"7";"hemos";"hemos,homes,henos,remos,semos,demos,humos,memos,vemos"
"heredé";"1";"herede";"herede,heredé,hederé,hereda,heredo,heredó,heredá,he redé,he-redé"
"hermana";"4";"hermana";"hermana,hermaná,hermanea,hermanar,hermanan,hermanas,hermanad,hermanda,hermane,hermano,hermanó,hermané,her mana,her-mana,herma na"
"hermanito";"2";"hermanito";"hermanito,hermanitos,hermanita,her manito,her-manito,herma nito,herma-nito"
"hermano";"6";"hermano";"hermano,hermanó,germano,hermaneo,hermanos,hermando,hermana,hermane,hermaná,hermané,her mano,her-mano,herma no,herma-no"
"heroína";"3";"heroÃ­na";"heroÃ­na"
"heroinómanos";"1";"hermandinos";"hermandinos,hermanaros"
"hice";"3";"hice";"hice,hoce,ice,hace,rice,hite,hile,dice,hipe,fice"
"hierro";"1";"hierro";"hierro,hiero,hierros,hierra,hierre,sierro,cierro,hierbo,fierro,hiervo"
"hígado";"1";"helgado";"helgado"
"higiénico";"4";"higiÃ©nico";"higiÃ©nico"
"higo";"1";"higo";"higo,higos,higa,hago,sigo,hito,hilo,ligo,digo,migo,hipo,figo,hizo,hijo"
"hija";"13";"hija";"hija,hoja,hijas,rija,hijo,hita,tija,hila,lija,hipa,pija,higa,fija"
"hijas";"1";"hijas";"hijas,jijas,hojas,hija,rijas,hijos,hitas,tijas,hilas,lijas,hipas,pijas,higas,fijas"
"hijita";"1";"hijita";"hijita,hijitas,hijito,hitita"
"hijito";"1";"hijito";"hijito,hijitos,hijita,hijato"
"hijo";"68";"hijo";"hijo,hijos,hija,rijo,hito,hilo,lijo,dijo,mijo,hipo,pijo,higo,fijo,hizo"
"hijoputa";"1";"hijo puta";"hijo puta,hijo-puta,hideputa"
"hijos";"7";"hijos";"hijos,hijo,hijas,hitos,hilos,mijos,hipos,pijos,higos,fijos"
"hilo";"2";"hilo";"hilo,hiló,hielo,hilos,hila,halo,hile,rilo,silo,hito,tilo,dilo,hipo,pilo,higo"
"hinchables";"1";"hincha bles";"hincha bles,hincha-bles,hinchares,incesables,lincharles,hinchieses"
"hinco";"1";"hinco";"hinco,hincó,hincho,chino,hinca,hirco,cinco,finco,vinco,hincá"
"hipopótamo";"1";"hipopÃ³tamo";"hipopÃ³tamo"
"hipopótamos";"2";"hipopÃ³tamos";"hipopÃ³tamos"
"hipoteca";"1";"hipoteca";"hipoteca,hipotecá,hipotecar,hipotecan,hipotecas,hipotecad,hipoteco,hipotecó,hipo teca,hipo-teca"
"hipotecas";"1";"hipotecas";"hipotecas,hipotecás,hipotecad,hipoteca,hipotecase,hipotecar,hipotecan,hipo tecas,hipo-tecas"
"hippie";"1";"hippie";"hippie,hippies"
"historia";"1";"historia";"historia,historiá,historiar,historian,historias,historial,historiad,historie,histeria,historio,historió,historié"
"hizo";"6";"hizo";"hizo,hozo,izo,rizo,hito,tizo,hilo,lizo,mizo,hipo,higo,fizo,hijo"
"hobre";"1";"honre";"honre,obre,hombre,robre,sobre,cobre,pobre"
"hoja";"1";"hoja";"hoja,hija,hojea,hojas,aoja,hora,roja,soja,coja,hola,moja,hopa,boja,foja,hoza"
"hojos";"1";"hijos";"hijos,ojos,hojosa,hojoso,hojas,aojos,rojos,cojos,hotos,tojos,mojos,hobos,hoyos,hojudos"
"hola";"17";"hola";"hola,halo,gola,hila,ola,holea,chola,hala,hora,rola,sola,cola,mola,hopa,bola"
"holaaaa";"1";"hola";"hola"
"hombre";"84";"hombre";"hombre,hombrea,hombree,hombreo,hombres,hombreó,hombreá,hombreé,hambre,hombro,nombre,sombre"
"hombres";"10";"hombres";"hombres,hombrea,hombre,hombreas,hombrees,hombreás,hambres,hombree,hombreo,hombros,nombres,sombres,hombreó,hombreá,hombreé"
"hombro";"3";"hombro";"hombro,hombreo,hombros,hombre,nombro,sombro"
"honestidad";"1";"honestidad";"honestidad"
"honor";"1";"honor";"honor,honro,honora,honore,honoro,honoró,honorá,honoré,horno"
"honorable";"2";"honorable";"honorable,honrable,honorables,honora ble,honora-ble"
"hora";"4";"hora";"hora,ora,ahora,honra,horas,horca,chora,horda,horma,rora,sora,hola,lora,dora,hura"
"horas";"5";"horas";"horas,hora,oras,honras,horcas,choras,hordas,hormas,roras,soras,loras,doras,huras,moras,hopas"
"hormigas";"1";"hormigas";"hormigas,hormiga,hormigos"
"hormigón";"1";"hormigo";"hormigo"
"horno";"1";"horno";"horno,honro,orno,ahorno,horneo,hornos,honor,sorno,horco,corno,torno,porno,forno"
"horrible";"1";"horrible";"horrible,horribles"
"hospital";"7";"hospital";"hospital"
"hostias";"1";"hostias";"hostias,hostia,ostias,hostigas"
"hotel";"2";"hotel";"hotel,motel"
"hotmail";"1";"homilÃ­a";"homilÃ­a"
"hoy";"17";"hoy";"hoy,hoya,hoyo,hay,soy,coy,doy,huy,voy,hoz"
"hoyo";"1";"hoyo";"hoyo,joyo,hoto,hoy,ahoyo,hoyos,hoya,royo,huyo,moyo,hopo,poyo,hobo,boyo,hozo"
"hubiera";"1";"hubiera";"hubiera,hubieran,hubieras,hubiere,subiera"
"huele";"1";"huele";"huele,hiele,hule,huelen,hueles,huelle,huela,huelo,suele,cuele,duele,muele,hueve,vuele"
"hueles";"1";"hueles";"hueles,hieles,huele,hules,huelles,huelas,huelen,sueles,cueles,dueles,mueles,hueves,vueles"
"huelva";"1";"Huelva";"Huelva,huela,hueva,huella,huelga,vuelva"
"hueso";"2";"hueso";"hueso,huso,huesos,huesa,huero,hueco,huelo,mueso,huevo,queso"
"huevo";"4";"huevo";"huevo,huevó,hueco,ahuevo,huevos,hueva,hueve,huero,nuevo,hueso,huelo,muevo,huevá,huevé"
"huevos";"11";"huevos";"huevos,huecos,huevo,huevas,hueves,hueros,nuevos,huesos,huevás"
"hummm";"1";"hum mm";"hum mm,hum-mm,hum"
"hurra";"1";"hurra";"hurra,huera,hurta,hura,hurera,churra,curra,turra,purra,burra,hurga,zurra"
"huy";"1";"huy";"huy,huya,huye,huyo,huyó,hay,hoy,hum,muy,huí"
"i";"9";"u";"u,o,ir,in,ni,is,si,ti,id,di,mi,pi,vi,ji,xi"
"iba";"8";"iba";"iba,iban,ibas,isba,liba,giba,ira,isa,ida,iza"
"ibamos";"1";"libamos";"libamos,gibamos,izamos,cribamos,tibiamos"
"íbamos";"1";"batamos";"batamos"
"iban";"2";"iban";"iban,bina,iba,liban,giban,ibas,izan"
"ibas";"1";"ibas";"ibas,bisa,iba,ibais,isbas,libas,gibas,isba,iras,ibis,iban,isas,idas,izas"
"idea";"4";"idea";"idea,ideá,ida,idear,idean,ideas,ideal,idead,idee,ideo,ideó,ideé,id ea,id-ea"
"ideal";"1";"ideal";"ideal,idea,idear,idean,ideas,idead"
"ideas";"1";"ideas";"ideas,ideás,idead,idea,idas,idease,idees,idear,idean,ideal"
"idiota";"3";"idiota";"idiota,idiotas,idioma,id iota,id-iota"
"ido";"3";"ido";"ido,dio,id,do,ideo,indo,nido,idos,sido,mido,pido,fido,ida,izo,id o"
"ies";"1";"is";"is,es,ices,mies,pies,bies,aes,res,ses,ces,tes,les,des,mes,pes"
"iglesia";"6";"iglesia";"iglesia,iglesias"
"ignoran";"1";"ignoran";"ignoran,ignora,pignoran,ignoren,ignorar,ignoras,ignorad"
"ignorancia";"1";"ignorancia";"ignorancia,ignorancias"
"ignorarla";"1";"ignorara";"ignorara,ignoraría,ignorar la,ignorar-la,ignorar,ignora,arraigarla"
"igual";"7";"igual";"igual,iguala,iguale,igualo,igualó,igualá,igualé,iguar"
"ikea";"1";"idea";"idea"
"imaginas";"1";"imaginas";"imaginas,imaginás,imaginad,imagina,imaginase,imagines,imaginar,imaginan"
"imbécil";"4";"imbÃ©cil";"imbÃ©cil"
"imbéciles";"1";"imbÃ©ciles";"imbÃ©ciles,cimbeles,cimbles"
"imitar";"1";"imitar";"imitar,imita,imitara,imitare,limitar,imitará,imitaré,imitan,imitas,imitad"
"imito";"1";"imito";"imito,imitó,omito,mito,limito,dimito,imita,amito,imite,emito,imitá,imité"
"importa";"4";"importa";"importa,importá,imparto,importar,importan,importas,importad,imparta,importe,importo,imposta,importó,importé"
"importante";"1";"importante";"importante,importantes,importarte,importaste,importan te,importan-te"
"importantes";"1";"importantes";"importantes,importante,importan tes,importan-tes"
"importe";"1";"importe";"importe,importé,importen,importes,importa,imparte,importo,imponte,imposte,importó,importá"
"impotencia";"1";"impotencia";"impotencia,impotencias"
"impresión";"3";"impresione";"impresione"
"impresora";"1";"impresora";"impresora,impresor,impresoras,impresor a"
"incorrecta";"2";"incorrecta";"incorrecta,incorrectas,incorrecto,in correcta,in-correcta"
"incorresta";"2";"incorrecta";"incorrecta,contrarresta,incestar"
"increíble";"1";"incinerable";"incinerable"
"incumbencia";"1";"incumbencia";"incumbencia,incumbencias"
"india";"1";"india";"india,India,nidia,inda,aindia,inedia,indina,indias,indica,indiza,indio"
"indiferencia";"1";"indiferencia";"indiferencia,indiferencias,in diferencia,in-diferencia"
"individual";"2";"individual";"individual,individua,individuar,individuas,individuad"
"individuo";"2";"individuo";"individuo,individuó,individúo,individuos,individua,individuá,individué"
"infancia";"1";"infancia";"infancia,infancias,financia"
"infierno";"1";"infierno";"infierno,infiero,infiernos,infierna,infierne,invierno"
"infiltrado";"1";"infiltrado";"infiltrado,infiltrad,infiltrando,infiltrados,infiltrada,in filtrado,in-filtrado,infiltra do,infiltra-do,infiltrad o"
"infraganti";"1";"garantieran";"garantieran,garantir"
"infusión";"1";"in fusión";"in fusión,in-fusión,infusiÃ³n"
"inglaterra";"1";"Inglaterra";"Inglaterra"
"ingles";"1";"ingles";"ingles,infles,ingle,ringles,singles,cingles,tingles,jingles"
"inglés";"11";"ingles";"ingles"
"inmaduras";"2";"inmaduras";"inmaduras,inmadura,inmaduros,inmaturas,in maduras,in-maduras"
"inocente";"2";"inocente";"inocente,nocente,inocentes"
"inodoro";"1";"inodoro";"inodoro,inodoros,inodora"
"inolvidables";"1";"inolvidables";"inolvidables,inolvidable"
"inseparables";"1";"inseparables";"inseparables,inseparable,in separables,in-separables"
"inserso";"1";"inserto";"inserto,inmerso,inverso,inserir"
"insistas";"1";"insistas";"insistas,insista,insistías,insistes,insistan,invistas,insistís"
"insultando";"1";"insultando";"insultando,indultando,insultado,insultan do,insultan-do"
"insultar";"1";"insultar";"insultar,indultar,insulta,insular,insultara,insultare,insultará,insultaré,insultan,insultas,insultad"
"insultos";"2";"insultos";"insultos,indultos,insulto,insultas,insultes,insulsos,incultos,insultás"
"intelectual";"1";"intelectual";"intelectual"
"inteligencia";"2";"inteligencia";"inteligencia,inteligencias"
"inteligente";"2";"inteligente";"inteligente,inteligentes"
"intensivas";"1";"intensivas";"intensivas,intensiva,intensivos"
"intentan";"1";"intentan";"intentan,entintan,intenta,intenten,intentar,intentas,intensan,intestan,intentad,inventan"
"intente";"1";"intente";"intente,intenté,entinte,intenten,intentes,intenta,entente,intento,intense,inteste,ingente,invente,intentó,intentá,in tente"
"interesado";"1";"interesado";"interesado,interesad,interesando,interesados,interesada,interesa do,interesa-do,interesad o"
"interesante";"1";"interesante";"interesante,interesantes,interesaste,interesan te,interesan-te"
"interior";"1";"interior";"interior,anterior,inferior"
"interrumpe";"1";"interrumpe";"interrumpe,interrumpen,interrumpes,interrumpa,interrumpo,interrumpí"
"intolerante";"1";"intolerante";"intolerante,intolerantes,in tolerante,in-tolerante"
"intragable";"1";"intratable";"intratable,in tragable,in-tragable,intransitable,integrable,tragable"
"inútil";"1";"infantil";"infantil"
"inventé";"1";"invente";"invente,inventé,inventa,invento,intenté,inventó,inventá,in venté,in-venté"
"invento";"5";"invento";"invento,inventó,inventor,inventos,inventa,invente,intento,inventá,inventé"
"inventor";"2";"inventor";"inventor,invento,inventora,inventar,inventos,in ventor,in-ventor"
"invierno";"2";"invierno";"invierno,inverno,ivierno,inviernos,invierto,infierno"
"invisible";"4";"invisible";"invisible,invisibles,in visible,in-visible"
"invita";"1";"invita";"invita,invitá,incita,invitar,invitan,invitas,invista,invicta,invitad,invite,invito,invitó,invité,in vita,in-vita"
"invitados";"1";"invitados";"invitados,incitados,invitado,invitadas,invitamos,in vitados,in-vitados,invita dos,invita-dos,invitad os,invitad-os"
"invito";"1";"invito";"invito,invitó,incito,invitos,invisto,invicto,invita,invite,invitá,invité,in vito,in-vito"
"iphone";"3";"perchone";"perchone"
"ir";"13";"ir";"ir,ira,mir,ar,in,is,id,gr"
"iras";"1";"iras";"iras,risa,oras,ira,ras,siras,tiras,liras,miras,piras,irgas,giras,viras,jiras,sira"
"irás";"1";"iras";"iras,orás,airás,tirás,mirás,pirás,girás,virás,arás,erás,iris,izás"
"iría";"1";"ira";"ira,ería,cría,tría,irga,irruiría"
"irina";"1";"orina";"orina,erina,irisa,crina,trina,mirrina"
"irrepetible";"1";"irrepetible";"irrepetible,irrepetibles,ir repetible,ir-repetible"
"isla";"1";"isla";"isla,isa,islas,islam,lisa,isba,is la,is-la"
"italianos";"1";"italianos";"italianos,italiano,italianas"
"izquierda";"2";"izquierda";"izquierda,izquierdea,izquierdas,izquierdo"
"izquierdo";"1";"izquierdo";"izquierdo,izquierdeo,izquierdos,izquierda"
"ja";"8";"ja";"ja,aj,ha,ka,a,aja,jea,jau,je,ea,jo,ji,na,ca,ta"
"jabon";"1";"jabona";"jabona,jabone,jabono,jabonó,jaboná,jaboné,jabonÃ³,jabonÃ©,jonjaba"
"jabón";"1";"jabona";"jabona"
"jaguar";"3";"jaguar";"jaguar,aguar,yaguar"
"jaime";"1";"jame";"jame"
"jaimito";"36";"caimito";"caimito,ja imito,ja-imito,imito"
"jajá";"1";"ajá";"ajá,rajá,jasá,sajá,tajá,jalá,jamá,majá,bajá,fajá"
"japonés";"1";"japones";"japones,aponés,ja ponés,ja-ponés"
"japonesa";"1";"japones";"japones,japones a,japonense,esponja"
"jaque";"1";"jaque";"jaque,jaquea,jaquee,jaqueo,jaique,jaques,jaquel,jaqueó,jaqueá,jaqueé,jeque,raque,naque,saque,taque"
"jara";"1";"jara";"jara,ajar,raja,jata,ara,ajara,jarra,jaras,jaral,jarba,jabra,jera,rara,jaro,jira"
"jardín";"3";"jardÃ­n";"jardÃ­n"
"jardinero";"1";"jardinero";"jardinero,jardineros,jardinera,sardinero,tardinero"
"jefe";"16";"jefe";"jefe,jede,efe,jefes,jefa,jete,jeme,jebe,befe,je fe,je-fe"
"jefes";"1";"jefes";"jefes,jedes,jefe,efes,jefas,jetes,jemes,jebes,befes,je fes,je-fes"
"jehová";"2";"enrehoje";"enrehoje"
"jerarquía";"1";"jerarquizaría";"jerarquizaría,jerarquizar,arrejeraría"
"jeringuilla";"1";"jeringuilla";"jeringuilla,jeringuillas"
"jesucristo";"1";"Jesucristo";"Jesucristo,antecristo"
"jesús";"2";"jesusee";"jesusee"
"ji";"1";"ji";"ji,ju,jo,ja,je,ni,si,ti,di,mi,pi,vi,xi"
"jo";"3";"jo";"jo,ji,o,ajo,ojo,ja,je,ro,no,so,to,lo,do,ju,fo"
"jodas";"1";"jodas";"jodas,josas,joda,odas,jodías,jodes,jedas,rodas,jodan,sodas,codas,jotas,todas,judas,modas"
"joder";"5";"joder";"joder,jode,joderá,joderé,joden,jodes,joded,poder"
"joer";"1";"joder";"joder,roer,moer"
"john";"1";"jonio";"jonio"
"jorobado";"1";"jorobado";"jorobado,jorobad,jorobando,jorobados,jorobada,jo robado,jo-robado,joroba do,joroba-do,jorobad o"
"jose";"1";"jode";"jode,ose,josa,jase,rose,cose,tose,lose,jope,pose,fose,jo se,jo-se"
"josé";"2";"jodé";"jodé,osé,josa,jasé,rosé,cosé,tosé,losé,jopé,posé,fosé,jo sé,jo-sé"
"joven";"2";"joven";"joven,oven,aoven,noven,joden,jopen,jo ven,jo-ven"
"jovencita";"1";"joven cita";"joven cita,joven-cita,jovenete"
"joyas";"1";"joyas";"joyas,hoyas,jotas,joya,royas,joyos,josas,jodas,moyas,jopas,poyas,boyas"
"juan";"4";"juan";"juan,juran,juman,ruan,cuan"
"juana";"2";"juan";"juan,ruana,juan a,jurdana"
"juanita";"1";"sanjuanista";"sanjuanista"
"juanjo";"1";"juan jo";"juan jo,juan-jo,juan"
"júbilo";"1";"jubilo";"jubilo,jubiló"
"jubiloso";"1";"jubiloso";"jubiloso,jubilosos,jubilosa,nubiloso,jubilo so,jubilo-so"
"juego";"4";"juego";"juego,jugo,juegos,juega,ruego,luego,fuego,juzgo,ju ego,ju-ego"
"jueves";"2";"jueves";"jueves,hueves,jueces,nueves,mueves"
"juez";"3";"juez";"juez,nuez"
"jugador";"1";"jugador";"jugador,jugado,jugadora,juzgador,jurador,jugados"
"jugando";"2";"jugando";"jugando,jugado,juzgando,jurando,rugando,jumando,mugando,fugando"
"jugar";"3";"jugar";"jugar,jugara,jugare,juglar,judgar,juzgar,jurar,rugar,lugar,jugad,jumar,mugar,fugar"
"jugo";"2";"jugo";"jugo,juego,jugos,juzgo,juro,rugo,julo,jumo,mugo,jubo,fugo,yugo"
"juguéis";"1";"juzguéis";"juzguéis,ruguéis,muguéis,fuguéis,desjuguéis"
"juicio";"2";"juicio";"juicio,ajuicio,juicios,quicio"
"junto";"5";"junto";"junto,juntó,unto,ajunto,juntos,junta,junte,junio,justo,junco,punto,junzo,juntá,junté,yunto"
"juntos";"3";"juntos";"juntos,junto,untos,juntaos,juntas,juntes,justos,juncos,puntos,juntás,yuntos"
"jurásico";"1";"jurÃ¡sico";"jurÃ¡sico"
"justicia";"1";"justicia";"justicia,justiciá,ajusticia,justiciar,justician,justicias,justiciad,justicie,justicio,justició,justicié"
"juzga";"1";"juzga";"juzga,juzgá,juzgar,juzgan,juzgas,juzgad,juega,juzgo,juzgó"
"kaka";"2";"ka ka";"ka ka,ka-ka,ka"
"kamikazes";"1";"KazakstÃ¡n";"KazakstÃ¡n"
"ketchup";"1";"ketchup";"ketchup,ketchups"
"ketchuuuppp";"1";"ketchup";"ketchup"
"kilo";"2";"quilo";"quilo,kilo,kilos,rilo,silo,tilo,dilo,pilo,filo,vilo,hilo"
"kilos";"5";"quilos";"quilos,kilos,kilo,silos,tilos,dilos,filos,vilos,hilos"
"kit";"1";"bit";"bit"
"kita";"1";"quita";"quita,jita,lita,rita,sita,cita,tita,dita,mita,pita,bita,vita,hita"
"kiwi";"1";"kirie";"kirie"
"kunfundieron";"2";"difundieron";"difundieron,rehundieron"
"kung";"1";"unge";"unge"
"l";"3";"la";"la,al,le,el,lo,a,e,o,d,u,y"
"la";"595";"la";"la,al,ka,a,ala,lea,lar,loa,ola,las,lía,lay,le,ea,lo"
"labios";"1";"labios";"labios,labio,labias,libios,sabios,lacios"
"lactosa";"1";"lactosa";"lactosa,latosa,lactosas"
"lado";"6";"lado";"lado,dalo,laso,alado,ladeo,ladro,lardo,loado,laido,liado,lados,laudo,load,lada,ledo"
"ladrillo";"1";"ladrillo";"ladrillo,ladrilló,ladillo,ladrillos,ladrilla,ladrille,ladrillá,ladrillé"
"ladron";"1";"ladro";"ladro,ladran,ladren,ladraron,ladearon,rondalla"
"ladrón";"2";"ladró";"ladró,ladran,ladren"
"lady";"2";"lady";"lady,lay,ladys,lada,lado"
"lágrimas";"1";"lagrimas";"lagrimas,lagrimás"
"lakaka";"1";NA;NA
"lámpara";"1";"lampara";"lampara,lampará"
"lana";"1";"lana";"lana,lama,alana,lanar,liana,lanas,llana,landa,launa,plana,langa,lanza,anal,lena,rana"
"lancha";"1";"lancha";"lancha,lacha,ancha,lanchar,lanchas,plancha,lancea,lancho,loncha,lincha,cancha,mancha,pancha,gancha"
"langostinos";"1";"langostinos";"langostinos,langostino"
"lapa";"2";"lapa";"lapa,pala,lapas,lapsa,lampa,rapa,lapo,lana,napa,lasa,sapa,laca,capa,lata,tapa"
"larga";"3";"larga";"larga,largá,garla,alarga,largar,largan,largas,largad,lagar,larra,largo,langa,sarga,carga,larda"
"largando";"1";"largando";"largando,garlando,largado,alargando,cargando,lardando,margando,largan do,largan-do"
"largo";"2";"largo";"largo,largó,garlo,lago,alargo,largor,largos,larga,sargo,cargo,lardo,margo,pargo,largá"
"largos";"1";"largos";"largos,largo,lagos,argos,largaos,largas,largor,sargos,cargos,lardos,pargos,largás"
"las";"102";"las";"las,sal,kas,la,as,lasa,alas,leas,laso,loas,olas,glas,lías,les,lar"
"láser";"1";"lÃ¡ser";"lÃ¡ser"
"lastima";"1";"lastima";"lastima,lastimá,lastimar,lastiman,lastimas,lastimad,lastime,lastimo,lastimó,lastimé,las tima,las-tima"
"lástima";"1";"lastima";"lastima,lastimá"
"lata";"5";"lata";"lata,alta,tala,laya,ata,elata,latan,latas,lasta,lacta,plata,lataz,latía,late,rata"
"latina";"4";"latina";"latina,latiná,atina,latinea,latinar,latinan,latinas,latinad,platina,latine,ratina,latino,litina,satina,latida"
"lava";"2";"lava";"lava,lavá,laca,lavar,larva,lavan,lavas,clava,lavad,aval,lave,leva,lavo,lana,nava"
"lavadora";"3";"lavadora";"lavadora,lavador,lavadoras,lavadura,lava dora,lava-dora,lavad ora,lavad-ora,lavador a"
"lavan";"1";"lavan";"lavan,naval,lava,clavan,laven,levan,lavar,lavas,cavan,latan,lavad,laman,lazan,laxan,layan"
"lavandería";"1";"lavandería";"lavandería,lavandera,lavanderías"
"lavaplatos";"1";"lavaplatos";"lavaplatos,lava platos,lava-platos"
"laxante";"1";"laxante";"laxante,laxantes,laxaste,laxan te,laxan-te"
"le";"336";"le";"le,el,e,lea,ale,lee,ele,leo,loe,ole,len,les,lle,ple,ble"
"lecciones";"1";"lecciones";"lecciones,alecciones,secciones"
"leche";"7";"leche";"leche,elche,eche,aleche,leches,fleche,lecho,loche,teche,luche,meche,peche,feche,le che,le-che"
"ledice";"1";"redice";"redice,lenice,le dice,le-dice,dice"
"lee";"4";"lee";"lee,leé,ele,le,alee,leer,olee,leen,lene,lees,leed,leme,leve,lea,leo"
"leer";"3";"leer";"leer,lee,leerá,leeré,leen,lees,seer,leed,peer,veer"
"leggins";"1";"legionense";"legionense"
"lego";"1";"lego";"lego,legó,leo,ego,alego,legro,liego,legos,llego,luego,lega,lago,ligo,leso,lelo"
"leí";"1";"leí";"leí,líe,le,leía,lea,lee,leo,len,les,luí,peí,leé,ley"
"leíste";"2";"leíste";"leíste,leste,peíste"
"lejos";"6";"lejos";"lejos,leos,lejas,rejos,lesos,tejos,lelos,ledos,dejos,lujos,legos"
"lengua";"2";"lengua";"lengua,legua,alengua,lenguas,lenguda,lenguaz,luenga,mengua,len gua,len-gua"
"lentamente";"1";"lentamente";"lentamente,lenta mente,lenta-mente"
"león";"2";"len";"len,lean,leen"
"lepe";"24";"pele";"pele,lee,lene,tepe,leme,pepe,leve,le pe,le-pe,julepe"
"lepero";"15";"repelo";"repelo,le pero,le-pero,perlero,peletero,papelero,perol"
"leperos";"10";"repelos";"repelos,leeros,le peros,le-peros,perleros,leprosos,leproso,peleteros"
"lepra";"1";"lepra";"lepra,lera,lepras,letra,legra"
"les";"17";"les";"les,sel,lea,le,es,lesa,leas,lees,eles,leso,leos,loes,oles,ples,bles"
"lestaulante";"1";"estimulante";"estimulante,resultante,estantale,estantala"
"lestituta";"1";"sustituta";"sustituta,estilita"
"letra";"1";"letra";"letra,letea,lera,letras,metra,lepra,legra"
"letras";"1";"letras";"letras,leteas,letra,leras,metras,lepras,legras,le tras,le-tras"
"letrero";"2";"letrero";"letrero,letreros,letrera,cetrero,lebrero"
"levanta";"5";"levanta";"levanta,levantá,levantar,levantan,levantas,levantad,levante,levanto,levantó,levanté,levan ta,levan-ta"
"levantar";"4";"levantar";"levantar,levanta,levantara,alevantar,levantare,levantará,levantaré,levantan,levantas,levantad"
"levantarse";"1";"levantarse";"levantarse,levantares,levantare,levantase,levantar se,levantar-se"
"leyendo";"2";"leyendo";"leyendo,leyenda,luyendo,peyendo,le yendo,le-yendo"
"leyó";"1";"leyó";"leyó,ley,layó,luyó,peyó,legó,levó"
"lg";"1";"la";"la,le,lo,algo"
"liado";"1";"liado";"liado,laido,loado,liad,lado,aliado,lirado,liando,liados,litado,limado,libado,ligado,lijado,liada"
"librería";"3";"librería";"librería,librera,librearía,librerías,libraría"
"librero";"1";"librero";"librero,libreto,libreo,libero,libreros,librera,labrero,lebrero,librejo,libre ro,libre-ro"
"libro";"6";"libro";"libro,libró,libo,libreo,libero,libros,libra,labro,libre,libio,litro,vibro,librá,libré"
"libros";"2";"libros";"libros,libro,libras,libres,libios,litros,librás"
"licor";"2";"licor";"licor,livor,icor,lictor,picor"
"líder";"1";"lidere";"lidere"
"lig";"1";"gil";"gil,liga,ligo,ligó,ligá,lid,lió,liá,lié"
"liga";"1";"liga";"liga,ligá,liega,ligar,ligan,ligas,ligad,lega,lira,ligo,lisa,siga,lita,lila,diga"
"ligué";"1";"ligue";"ligue,ligué,legué,ligur,licué,migué"
"límite";"1";"limite";"limite,limité"
"limon";"1";"limo";"limo,liman,limen,limos"
"limpia";"2";"limpia";"limpia,limpiá,limpiar,limpian,limpias,limpiad,limpie,limpio,limpió,limpié"
"limpies";"2";"limpies";"limpies,limpie,limpias,limpios,limpien,limpiás"
"limpieza";"1";"limpieza";"limpieza,limpiezas,limpie za,limpie-za"
"lindo";"2";"lindo";"lindo,lindó,lino,indo,liando,alindo,lindos,blindo,linda,liado,linde,lineo,rindo,linio,liudo"
"líneas";"1";"lineas";"lineas,lineás,leneas"
"linternas";"1";"linternas";"linternas,linterna,internas,lanternas"
"lisa";"1";"lisa";"lisa,lusa,losa,isa,alisa,liosa,lisia,lisas,clisa,lista,luisa,plisa,isla,alis,lasa"
"lista";"1";"lista";"lista,listá,lisa,lita,alista,listar,listan,listas,listad,litas,lasta,liste,listo,lisia,cista"
"listillos";"1";"mostillos";"mostillos,postillosos,astillosos,postilloso"
"listo";"2";"listo";"listo,listó,liso,lito,alisto,listos,lista,lasto,liste,lisio,disto,misto,pisto,visto,listá"
"litros";"1";"litros";"litros,litro,litres,litios,nitros,lituos,libros"
"llama";"42";"llama";"llama,llamá,llana,lama,llamea,llamar,llaman,llamas,llamad,alama,llame,llamo,llaca,clama,llaga"
"llamaba";"1";"llamaba";"llamaba,llameaba,llamaban,llamabas,llamara,clamaba,llamada,llagaba"
"llamaban";"1";"llamaban";"llamaban,llamaba,llameaban,llamaran,llamabas,clamaban,llagaban"
"llamadas";"3";"llamadas";"llamadas,llanadas,llamada,llameadas,llamaras,llamados,clamadas,llamabas,llagadas,llama das,llama-das,llamad as,llamad-as"
"llamado";"2";"llamado";"llamado,llamad,llameado,llamador,llamando,llamados,llamada,clamado,llagado,llama do,llama-do,llamad o"
"llaman";"9";"llaman";"llaman,llama,laman,llamean,llamen,llamar,llamas,claman,llamad,llagan"
"llamando";"1";"llamando";"llamando,llamado,llameando,clamando,llagando,llaman do,llaman-do"
"llamar";"2";"llamar";"llamar,llama,llamara,llamare,llamear,llamará,llamaré,alamar,llaman,llamas,clamar,llamad,llagar"
"llamarla";"1";"llamara";"llamara,llamaría,llamar la,llamar-la,llamar,amarla,amarilla,llameara"
